,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,port elizabeth,90.0,US,2018-11-05,92.0,39.31,-74.98,41.0,6.93
2,vaini,0.0,IN,2018-11-05,34.0,15.34,74.49,78.8,4.7
3,hilo,75.0,US,2018-11-05,70.0,19.71,-155.08,66.92,6.93
4,ushuaia,90.0,AR,2018-11-05,81.0,-54.81,-68.31,42.8,40.26
5,yenagoa,24.0,NG,2018-11-05,80.0,4.92,6.26,86.4,4.38
6,nikolskoye,0.0,RU,2018-11-05,78.0,59.7,30.79,14.0,8.95
7,abnub,0.0,EG,2018-11-05,50.0,27.27,31.15,55.4,10.29
8,hede,90.0,SE,2018-11-05,100.0,60.45,15.49,26.6,2.24
9,geraldton,90.0,CA,2018-11-05,61.0,49.72,-86.95,15.8,10.29
10,rikitea,44.0,PF,2018-11-05,97.0,-23.12,-134.97,78.84,14.12
11,albany,90.0,US,2018-11-05,88.0,42.65,-73.75,35.06,3.09
12,busselton,0.0,AU,2018-11-05,88.0,-33.64,115.35,70.25,21.39
13,rocha,92.0,UY,2018-11-05,99.0,-34.48,-54.34,68.58,7.74
14,kununurra,40.0,AU,2018-11-05,52.0,-15.77,128.74,91.4,19.46
15,katsuura,40.0,JP,2018-11-05,76.0,33.93,134.5,48.2,10.29
16,cherskiy,44.0,RU,2018-11-05,0.0,68.75,161.3,-32.58,3.76
17,dingle,24.0,PH,2018-11-05,76.0,11.0,122.67,81.23,13.33
18,punta arenas,40.0,CL,2018-11-05,65.0,-53.16,-70.91,46.4,34.45
19,qaanaaq,0.0,GL,2018-11-05,75.0,77.48,-69.36,-17.82,8.41
20,vilhena,12.0,BR,2018-11-05,95.0,-12.74,-60.15,69.39,2.08
21,lorengau,56.0,PG,2018-11-05,95.0,-2.02,147.27,85.91,11.43
22,kenai,90.0,US,2018-11-05,96.0,60.55,-151.26,24.98,4.61
23,willowmore,0.0,ZA,2018-11-05,30.0,-33.3,23.49,90.09,1.36
24,pevek,12.0,RU,2018-11-05,100.0,69.7,170.27,-30.15,2.75
25,rio grande,32.0,BR,2018-11-05,94.0,-32.03,-52.1,72.36,10.87
26,arraial do cabo,20.0,BR,2018-11-05,88.0,-22.97,-42.02,75.2,17.22
